Arabic Title,Chinese Title,"Author,  Assembler, Editor, Scrivener, Translator",Type of Publication,Place of Publication,Year of Publication,Publisher,# of pages
Bis Allah Al-Han Al-Hee,,,,,,,343
Manakib Al-awaliya',,Bustan al-Din Yusuf al-Sini,,,,,386
Arbaun,,,,,,,341
Asas al-Ulum ma al-Shrh al-Sinii wa Anharakart wa al-Airabi,,,,,,,189
Qawaid al-tawhid,,,,,,,100
Wa Saya al-Rusul: Khms wa Khamsum Wasia,,Mezza Muhammad Saa Ajaaj,,,,,
Kitab Kimya Al-Farsi,,Shinhawaa,,,,,119
Hādha al-Kitāb al-Jahrī,哲罕耶道統史傳,"馬學智 (Author)
郭福金 (Assembler)
田大璽 (Scrivener)",Manuscript,Unidentified,1934,N/A,437
,曼丹叶合,"马金鹏 (Translator)
王耀成 (Scrivener)",Book,"Unidentified (Hongkong, China or Beijing, China)",2011,香港天马出版社,343
,麦那给布利奥里牙伊,"尔布都里.艾哈德 (Author)
中国的博斯塔诺丁·优素福 (Editor)",Manuscript,Unidentified,Unidentified,N/A,387
,至圣宝谕,"努尔·翰格 (Author)
伊本·约翰·阿布笃拉赫曼·马世珍 (Translator)",Book,Unidentified ,1979,Unidentified,491
,阿语基础知识,Unidentified,Book,Unidentified,Unidentified,Unidentified,189
,买茲亥布,伊本·伊布拉欣 (Author),Book,Unidentified,Unidentified,Unidentified,143
,乜帖：汉文注音译义,Unidentified,Book,"Beijing, China",1982,北京市伊斯兰教协会,112
,亥帖：汉文注音译义,Unidentified,Book,"Beijing, China",1982,北京市伊斯兰教协会,79
,伊斯兰教六大信仰总纲,Unidentified,Book,Unidentified,1998,Unidentified,100
,伊斯兰礼拜封斋问答,Unidentified,Manuscript,Unidentified,Unidentified,N/A,43
,回回有泪不轻弹,陕海青 (Author),Book,"Linxia, Ningxia Province, China","Unidentified, circa 2001",Unidentified,131
,穆圣遗嘱五十五则,"哈姆宰·穆罕默德·撒力哈·安扎吉 (Editor)
哎哈默德，穆哈辛，伊清 (Translators)",Book,Unidentified,"Unidentified, circa 1995",Unidentified,119
,教义释疑——伊斯兰的回答,"穆罕默德·穆太万犁·什而拉畏 (Author)
穆罕默德·易卜拉欣·尤舒服 (Translator)",Book,Unidentified,"Unidentified, circa 1987",Unidentified,299
,伊斯蘭教概論,"马邻翼 (Author)
王雲五 (Editor)",Book,Unidentified,Unidentified,商务印书馆,156
,穆信瑪提経,馬毓貴、王國華、韓宏魁 (Translators),Book,"Beijing, China",1930,北平成達師範學校民衆教育會,28
,回教發展史畧,袁東寅 (Author),Book,"Nanjing, China",1946,南京回教青年學會,43
Unidentified (kimiya+al-farsi),,Unidentified,Book,"Shanghai, China",1954,穆民經書社,122
Start of Scans by Bilikisu,,,,,,,
,,,,,,,387
,,,,,,,96
,,,,,,,25
Asas Al-Ulum,,,,,,,189
"(tight binding, would need 2 people to hold down and scan)",,,,,,,95
,,,,,,,10
,,,,,,,35
,,,,,,,?
Lugat al-Maktubat,,,,,,,? (sections)
Al-Quzani,,,,,,,334
Mutasiq al-nahw ,,,,,,1403,114
Al-Qawaeid Al-Sarfiat,,,,,,,80
Qawaeid al-nahw Aarab,,,,,,,76
Aeqidat al-Islam,,,,,,,94
Al-ahlad al-awal min Muharam,,,,,,1941 in english/ 1420 on bottom in arabic,568
,,,,,,,203
,,,,,,,pg 5-204
Lugat al-Quran,,,,,,,79
Lugat Sharah al-Wiqayat al-Mutarajimat Bilisan al-Sinaa,,,,,,,115
,,,,,,,76
,,,,,,1988?,132
,,,,,,,158